"ID",Area,Summary,Notes / What it Confirms,Heavy?,Status,Notes
SAFE-01,Safety / Prep,Add env toggle to disable auto-init,`SMA_DISABLE_AUTO_INIT` or similar gating `ensure_initialized()` on startup,No,TODO,No explicit env var toggle found; recommend env-based guard.
SAFE-02,Safety / Prep,Tiny test config,"Separate “test” hyperparams + tiny corpora for quick, deterministic runs",No,Pass (with caveat),Achievable via CLI flags; no dedicated tiny config file.
ENV-01,Environment,Python + deps sanity,"`torch`, `fastapi`, `pydantic`, etc. install & import cleanly",No,Pass,"torch, fastapi, pydantic imported cleanly; baseline runtime deps OK."
ENV-02,Environment,Project path assumptions,All root paths / config paths resolve correctly,No,Pass,Project root and config-related paths resolve correctly.
ENV-03,Environment,Data directory presence,Expected data dirs (general + specialists) and output dirs exist,No,Pass,shiftable_project/data/general exists with corpora; outputs/ not present yet (expected pre-training).
ENV-04,Environment,GPU / CPU capability,`torch.cuda.is_available()` and memory sufficient for intended device,No,Pass,CPU fallback works correctly; torch 2.5.1+cpu.
ST-01,Static / Structure,Importability of key modules,"`app.api`, `app.model_manager`, `app.router`, `shiftable_attention.sma`, etc. import OK",No,Pass,"Imported shiftable_attention.*, shiftable_project.*, and key app modules without side effects or errors."
ST-02,Static / Structure,Linting,Run `ruff`/`flake8` to catch obvious code smells,No,Not Run (env limitation),"This environment cannot install or run `ruff` (no working `pip install ruff mypy`), so full linting wasn’t executed. As a fallback, all `app`, `shiftable_project`, and `shiftable_attention` modules were imported successfully, confirming there are no syntax or immediate import errors. Please run `ruff check .` locally in your dev environment to fully satisfy this test."
ST-03,Static / Structure,Type checking,Run `mypy` (or similar) over app/core modules,No,Not Run (env limitation),"`mypy` is also unavailable here (install fails), so no static type-checking pass was run. All core modules import cleanly under Python 3.11, which catches basic annotation/import issues, but you should run `mypy` locally (per your Option A choice) to complete this test properly."
ST-04,Static / Structure,Config validation,"Hyperparams/path values are valid (ranges, existence)",No,Pass,"Validated `app.config` paths: project/data roots and output dirs all exist; expected artifact files (generalist/shiftable checkpoints, domain stats) are missing but their parent dirs exist, which is correct pre-training. Numeric hyperparameters (dims, LRs, epochs, router/emergent thresholds) are in sane ranges. Config is internally consistent and ready for training/inference."
SA-01,Shiftable Attention,SMA shape sanity,"Forward pass on random batch; shapes match, no NaNs",No,Pass,"Forward pass on random batch preserved [batch, seq, d_model]; gate sums ≈ 1; no NaNs."
SA-02,Shiftable Attention,DomainGate behavior,Gating weights sum to 1; correct domain wins for simple cases,No,Pass (with caveat),"Verified that DomainGate produces logits that softmax to well-formed probability distributions (row sums ≈ 1.0). Using a small synthetic configuration, we overrode internal linear layers to make a simple pattern (positive activation in one dimension) strongly favor a particular domain, confirming the gate can cleanly separate domains when properly trained/configured. Full “correct domain wins” behavior in realistic scenarios still depends on learned weights, not hard-coded rules."
